id,year,title,authors,journal,doi,region,proxy_or_method,evidence_type,priority,abstract_status,metadata_source,last_checked,notes_file
li2024_diagenesis,2024,"Constraining carbonate diagenesis using clumped isotope temperatures and U-Pb dating: A case study and implications for paleoelevation interpretations in western central Tibet","Lin Li; Peter DeCelles; Paul Kapp; Carmala Garzione; Jay Quade; Nitzan Yanay","Geochimica et Cosmochimica Acta",10.1016/j.gca.2024.04.007,"Western central Tibet","clumped-isotope temperature; carbonate U-Pb dating; diagenesis screening","archive preservation and uncertainty assessment",A,metadata-only,CrossRef,2026-08-27,
li2024_micritic,2024,"Reliability of micritic carbonates in recording well-preserved isotopic composition and implications for paleoelevation estimates in central Tibet","Lin Li; Jay Quade; Carmala Garzione; William F. Defliese; Peter DeCelles; Paul Kapp","Geochimica et Cosmochimica Acta",10.1016/j.gca.2024.04.009,"Central Tibet","micritic carbonate stable isotopes; petrographic screening","archive reliability evaluation",A,metadata-only,CrossRef,2026-08-27,
smiley2024_basin_range,2024,"Tectonic extension and paleoelevation influence mammalian diversity dynamics in the Basin and Range Province of western North America","Tara M. Smiley; Alireza Bahadori; E. Troy Rasbury; William E. Holt; Catherine Badgley","Science Advances",10.1126/sciadv.adn6842,"Basin and Range; western North America","mammal fossil record; geophysical topographic evolution model","paleotopography-biodiversity coupling",B,available,CrossRef,2026-08-27,
cohen2024_oregon_glass,2024,"Volcanic Glass as a Proxy for Paleotopography Suggests New Features in Late-Miocene Oregon","Julian Cohen; John Bershaw; Richard Hugo",Atmosphere,10.3390/atmos15050561,"Oregon; western North America","volcanic-glass d2H; paleoisoscape","Late Miocene proxy application",B,available,CrossRef,2026-08-27,
sun2023_lunpola_miocene,2023,"Middle Miocene paleoenvironmental change and paleoelevation of the Lunpola Basin, Central Tibet","Jimin Sun; Jianguo Li; Weiguo Liu; Brian F. Windley; Alex Farnsworth; Chunsheng Jin; Zhiliang Zhang; Wenjiao Xiao","Global and Planetary Change",10.1016/j.gloplacha.2022.104009,"Lunpola Basin; central Tibet","paleoenvironmental indicators; paleoelevation proxies","Middle Miocene regional reconstruction",A,metadata-only,CrossRef,2026-08-27,
li2023_d2hwax_brgdgt,2023,"Validating the potential application of d2Hwax and soil brGDGTs in paleoelevation estimates on the southern slopes of the Himalaya","Xiumei Li; Sutao Liu; Baowei Fan; Juzhi Hou; Mingda Wang","Quaternary Science Reviews",10.1016/j.quascirev.2023.108306,"Southern Himalaya","leaf-wax d2H; soil brGDGTs","proxy validation",A,metadata-only,CrossRef,2026-08-27,
li2023_qaidam_paleoclimate,2023,"Eocene to Miocene paleoclimate reconstruction of the northern Tibetan Plateau: constraints from mineralogy, carbon and oxygen isotopes of lacustrine carbonates in the western Qaidam Basin","Li et al.","Frontiers in Earth Science",10.3389/feart.2023.1217304,"Western Qaidam Basin; northern Tibetan Plateau","evaporite mineralogy; lacustrine-carbonate δ13C and δ18O","regional aridification and paleoclimate reconstruction",A,available,CrossRef + maintainer reading,2026-08-27,notes/li2023_qaidam_paleoclimate.md
zhang2023_daxia,2023,"Inversion of Late Miocene uplift history from the transient Daxia River landscape, NE Tibetan Plateau","Yihui Zhang; Huiping Zhang; Zifa Ma; Yizhou Wang; Xudong Zhao","Journal of the Geological Society",10.1144/jgs2023-030,"Daxia River; northeastern Tibetan Plateau","channel-profile inversion; knickpoints; peneplain surfaces","geomorphic uplift inversion",A,available,CrossRef,2026-08-27,
wei2023_ne_tibet,2023,"Revisiting the mechanisms of mid-Tertiary uplift of the NE Tibetan Plateau","Hong-Hong Wei; Guo-Li Wu; Lin Ding; Long-Gang Fan; Lin Li; Qing-Ren Meng","National Science Review",10.1093/nsr/nwad008,"Northeastern Tibetan Plateau; West Qinling; Hoh Xil; Qaidam","stratigraphy; sedimentology; volcanism","geodynamic mechanism review and synthesis",A,available,CrossRef,2026-08-27,
sun2023_lunpola_progress,2023,"Research progress on the age, paleoenvironment, and paleo-elevation of Cenozoic strata in the Lunpola Basin, Central Tibetan Plateau","Jimin Sun; Jianguo Li; Weiguo Liu; Chunsheng Jin","Chinese Science Bulletin",10.1360/tb-2023-0653,"Lunpola Basin; central Tibetan Plateau","stratigraphy; paleoenvironment; paleo-elevation synthesis","Chinese-language progress review",A,metadata-only,CrossRef,2026-08-27,
li2022_lunpola_review,2022,"Cenozoic paleoelevation history of the Lunpola Basin in Central Tibet: New evidence from volcanic glass hydrogen isotopes and a critical review","Lin Li; Haijian Lu; Carmala Garzione; Majie Fan","Earth-Science Reviews",10.1016/j.earscirev.2022.104068,"Lunpola Basin; central Tibet","volcanic-glass hydrogen isotopes; critical review","proxy evidence plus literature reassessment",A,available,CrossRef + maintainer reading,2026-08-27,notes/li2022_lunpola_review.md
li2021_northern_tibet_vegetation,2021,"Orographic evolution of northern Tibet shaped vegetation and plant diversity in eastern Asia","Li et al.","Science Advances",10.1126/sciadv.abc7741,"Northern Tibetan Plateau; East Asia","climate model; dynamic global vegetation model; topographic sensitivity experiments","orography-climate-vegetation and diversity modelling",A,available,CrossRef + maintainer reading,2026-08-27,notes/li2021_northern_tibet_vegetation.md
spicer2017_tibet_monsoons_biodiversity,2017,"Tibet, the Himalaya, Asian monsoons and biodiversity: In what ways are they related?","Robert A. Spicer","Plant Diversity",10.1016/j.pld.2017.09.001,"Tibetan Plateau; Himalaya; Asia","literature synthesis; palaeobotany; palaeoclimate and climate-model evidence","topography-monsoon-biodiversity synthesis",A,available,CrossRef + maintainer reading,2026-08-29,notes/spicer2017_tibet_monsoons_biodiversity.md
zhang2016_tibet_uplift_asian_monsoon,2016,"Impacts of uplift of the Tibetan Plateau and its surrounding regions on the Asian monsoon climate","Ran Zhang; Dabang Jiang; Zhongshi Zhang","Quaternary Sciences",10.11928/j.issn.1001-7410.2016.04.15,"Tibetan Plateau; Asian monsoon domain","numerical climate simulation; idealized topographic uplift experiments","core-versus-peripheral uplift climate response",A,metadata-checked-from-PDF,CrossRef + maintainer reading,2026-08-29,notes/zhang2016_tibet_uplift_asian_monsoon.md
rowley_currie2006_lunpola_paleoaltimetry,2006,"Palaeo-altimetry of the late Eocene to Miocene Lunpola basin, central Tibet","David B. Rowley; Brian S. Currie",Nature,10.1038/nature04506,"Lunpola Basin; central Tibet","carbonate oxygen isotopes; modern meteoric-water calibration; hypsometric effect","early plateau elevation reconstruction",A,available,CrossRef + maintainer reading,2026-08-27,notes/rowley_currie2006_lunpola_paleoaltimetry.md
deng2015_tibet_review,2015,"Paleoaltimetry reconstructions of the Tibetan Plateau: progress and contradictions","Tao Deng; Lin Ding","National Science Review",10.1093/nsr/nwv062,"Tibetan Plateau","multi-proxy paleoaltimetry review","benchmark review and unresolved contradictions",F,metadata-only,CrossRef,2026-08-27,
rowley2007_isotope_theory,2007,"Stable Isotope-Based Paleoaltimetry: Theory and Validation","David B. Rowley","Reviews in Mineralogy and Geochemistry",10.2138/rmg.2007.66.2,Global,"stable isotope theory; atmospheric fractionation","method foundation",F,metadata-only,CrossRef,2026-08-27,
quade2007_pedogenic_carbonate,2007,"Paleoelevation Reconstruction using Pedogenic Carbonates","Jay Quade; Carmala Garzione; John Eiler","Reviews in Mineralogy and Geochemistry",10.2138/rmg.2007.66.3,Global,"pedogenic carbonates; stable isotopes","method foundation",F,metadata-only,CrossRef,2026-08-27,
mulch2004_eroded_orogens,2004,"Reconstructing paleoelevation in eroded orogens","Andreas Mulch; Christian Teyssier; Michael A. Cosca; Olivier Vanderhaeghe; Torsten W. Vennemann",Geology,10.1130/g20394.1,Global,"stable isotopes; thermochronology; exhumation","method and erosion-bias framework",F,metadata-only,CrossRef,2026-08-27,
blisniuk2005_critical_review,2005,"Stable isotope paleoaltimetry: A critical review","P. M. Blisniuk","American Journal of Science",10.2475/ajs.305.10.1033,Global,"stable isotope paleoaltimetry","critical method review",F,metadata-only,CrossRef,2026-08-27,
